Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist / Engineer - Senior / Experienced Level,$132K - $166K (Glassdoor est.),-1,"AWM Smart Shelf (Adroit Worldwide Media, Inc.)","Aliso Viejo, CA",-1,-1,-1,-1,-1,-1
NGS Scientist,$110K - $143K (Glassdoor est.),3.5,"MedGenome
3.5","Foster City, CA",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
"Clinical Laboratory Scientist (CLS) - Full Time, Night Shift",$47K - $98K (Glassdoor est.),-1,Adventist Health,"Tehachapi, CA",-1,-1,-1,-1,-1,-1
"Senior Scientist, Discovery Biology",-1,-1,ADARx Pharmaceuticals,"San Diego, CA",-1,-1,-1,-1,-1,-1
Lead Clinical Laboratory Scientist,$55K - $108K (Glassdoor est.),2.1,"HRC Fertility Management, LLC
2.1","Newport Beach, CA",51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Travel Clinical Lab Scientist / CLS,-1,4.6,"LRS Healthcare
4.6",California,501 to 1000 Employees,2006,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Lead Data Engineer, Big Data",$178K - $200K (Glassdoor est.),4.1,"Lucid Motors
4.1","Newark, CA",1001 to 5000 Employees,2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
"Data Scientist, Medical Diagnostics",$88K - $150K (Glassdoor est.),3.5,"Specific Diagnostics
3.5","Mountain View, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Clinical Lab Scientist l (Full-Time),$21 - $34 Per Hour(Glassdoor est.),3.3,"Oak Valley Hospital District
3.3","Oakdale, CA",201 to 500 Employees,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
Research Scientist,$82K - $173K (Glassdoor est.),-1,Circularis Biotechnologies,"Oakland, CA",-1,-1,-1,-1,-1,-1
Clinical Lab Scientist - Clinical Laboratory,$45K - $94K (Glassdoor est.),2.7,"Providence
2.7","Fullerton, CA",1 to 50 Employees,1953,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Senior Data Analytics Advisor,$97K - $103K (Glassdoor est.),4.0,"Rio Tinto
4.0","Boron, CA",10000+ Employees,1873,Company - Public,Mining,Mining & Metals,$10+ billion (USD)
"Clinical Laboratory Scientist, Nights, Full Time - $20K Sign On Bonus!",$49K - $96K (Glassdoor est.),3.6,"Adventist Health
3.6","Clearlake, CA",10000+ Employees,1973,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$78K - $139K (Glassdoor est.),3.4,"Tawa Service, Inc.
3.4","Buena Park, CA",1001 to 5000 Employees,1984,Company - Private,Grocery Stores & Supermarkets,Retail,Unknown / Non-Applicable
Clinical Lab Scientist l,$19 - $30 Per Hour(Glassdoor est.),3.3,"Oak Valley Hospital District
3.3","Oakdale, CA",201 to 500 Employees,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
Senior Research Scientist Cell Line/Upstream Process Development,-1,-1,Mapp Biopharmaceutical,"San Diego, CA",-1,-1,-1,-1,-1,-1
Translational Scientist,$70K - $129K (Glassdoor est.),3.8,"Biocept, Inc.
3.8","San Diego, CA",51 to 200 Employees,Company - Public,Research & Development,Business Services,$1 to $5 million (USD),-1
Bioinformatics Scientist,-1,-1,Spatial Genomics,"Pasadena, CA",-1,-1,-1,-1,-1,-1
Senior Digital Marketing Data Analyst,$59K - $107K (Glassdoor est.),3.2,"Juvo Plus, Inc.
3.2","Monrovia, CA",1 to 50 Employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1
Data Analyst Regulatory Compliance Reporting - Compliance,$46K - $92K (Glassdoor est.),2.7,"Providence
2.7","Anaheim, CA",1 to 50 Employees,1953,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Sr. Data Analyst,$92K - $186K (Glassdoor est.),4.0,"Patelco Credit Union
4.0","Dublin, CA",501 to 1000 Employees,1936,Nonprofit Organization,Banks & Credit Unions,Finance,$5 to $10 billion (USD)
CLIA Clinical Lab Scientist,$50K - $96K (Glassdoor est.),3.8,"Chinese Hospital
3.8","San Francisco, CA",201 to 500 Employees,1923,Company - Private,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
"Scientist I / Scientist II, Computational Biology",$86K - $226K (Glassdoor est.),4.2,"23andMe
4.2","South San Francisco, CA",501 to 1000 Employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Scientist (Primary Cell / Product),$70K - $103K (Glassdoor est.),-1,iXCells Biotechnologies,"San Diego, CA",-1,-1,-1,-1,-1,-1
"Data Analyst – Alternatives to Incarceration, Los Angeles CA",$51K - $95K (Glassdoor est.),3.9,"Local Initiatives Support Corporation
3.9","Los Angeles, CA",201 to 500 Employees,1979,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD)
Project Environmental Scientist,$51K - $104K (Glassdoor est.),3.6,"Terracon
3.6","Colton, CA",1001 to 5000 Employees,1965,Company - Private,Architectural & Engineering Services,Business Services,$500 million to $1 billion (USD)
Downstream Scientist,$59K - $114K (Glassdoor est.),3.4,"Eurofins
3.4","Emeryville, CA",10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
"Medicinal Chemistry, Scientist I/II",$104K - $117K (Glassdoor est.),-1,"Carmot Therapeutics, Inc.","Berkeley, CA",-1,-1,-1,-1,-1,-1
Scientist III,$75K - $147K (Glassdoor est.),-1,Tekruiting,"Pleasanton, CA",-1,-1,-1,-1,-1,-1
Data Analyst,$48K - $100K (Glassdoor est.),-1,"Advanced Personnel Profiles, Inc.","Santa Barbara, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$117K - $162K (Glassdoor est.),-1,"Alto Neuroscience, Inc.","Los Altos, CA",1 to 50 Employees,Unknown,Unknown / Non-Applicable,-1,-1,-1
Associate Scientist - Cell Biology,-1,-1,Ab Studio Inc.,"Hayward, CA",-1,-1,-1,-1,-1,-1
Data Analyst,$50K - $95K (Glassdoor est.),2.6,"O'Neil Digital Solutions
2.6","Los Angeles, CA",51 to 200 Employees,1973,Company - Private,Miscellaneous Manufacturing,Manufacturing,$50 to $100 million (USD)
Data Scientist,$78K - $145K (Glassdoor est.),3.4,"Spigen,Inc
3.4","Irvine, CA",201 to 500 Employees,2007,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD)
Research Scientist II,$60K - $134K (Glassdoor est.),3.7,"B. Braun Medical Inc.
3.7","Irvine, CA",10000+ Employees,1839,Company - Private,Health Care Products Manufacturing,Manufacturing,$5 to $10 billion (USD)
"Scientist I/II, Statistical Genetics (and Machine Learning)",$102K - $203K (Glassdoor est.),4.2,"23andMe
4.2","Sunnyvale, CA",501 to 1000 Employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Clinical Laboratory Scientist (CLS), Full Time, Nights",$51K - $97K (Glassdoor est.),3.6,"Adventist Health
3.6","Willits, CA",10000+ Employees,1973,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Sr. Materials Scientist/Engineer,$66K - $142K (Glassdoor est.),-1,Microfabrica Inc,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Clinical Lab Scientist,$11 - $19 Per Hour(Glassdoor est.),3.1,"AG Globe Services
3.1","Fresno, CA",51 to 200 Employees,2015,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
"Senior Staff Scientist, NGS DNA Amplification",$124K - $220K (Glassdoor est.),4.2,"Stealth Mode Startup
4.2","Newark, CA",1 to 50 Employees,Unknown,Less than $1 million (USD),-1,-1,-1
Business Intelligence Analyst,$54K - $105K (Glassdoor est.),3.2,"Internet Brands
3.2","Los Angeles, CA",1001 to 5000 Employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD)
ELISA Scientist,$60K - $116K (Glassdoor est.),3.4,"Eurofins
3.4","San Diego, CA",10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Division of Intuit,"Mountain View, CA",4.4,"Intuit - Data
4.4",Business Data Analyst,5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Scientist,-1,4.1,"Blockchain.com
4.1",California,51 to 200 Employees,2011,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,4.0,"Feedzai
4.0","San Mateo, CA",201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
Data Scientist,$100K - $170K (Glassdoor est.),3.4,"Walmart
3.4","Sunnyvale, CA",10000+ Employees,1994,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
"Scientist, Immunohistochemistry",$85K - $174K (Glassdoor est.),-1,"Therini Bio, Inc.","South San Francisco, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$104K - $180K (Glassdoor est.),3.5,"Humanyze
3.5","Menlo Park, CA",1 to 50 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$85K - $157K (Glassdoor est.),4.3,"MobilityWare
4.3","Irvine, CA",51 to 200 Employees,1990,Company - Private,Video Games,Media,Unknown / Non-Applicable
Imagery Analyst Scientist,-1,3.8,"Akoya Biosciences
3.8","Menlo Park, CA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Financial Data Analyst,$41K - $82K (Glassdoor est.),3.9,"Noble House Home Furnishings
3.9","Chatsworth, CA",201 to 500 Employees,Company - Private,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable,-1
Senior Data Engineer,-1,-1,Lendistry,"San Jose, CA",-1,-1,-1,-1,-1,-1
Computational Biologist,$54K - $130K (Glassdoor est.),-1,"Alto Neuroscience, Inc.","Los Altos, CA",-1,-1,-1,-1,-1,-1
POPULATION HEALTH SENIOR DATA ANALYST,$64K - $111K (Glassdoor est.),2.8,"Network Medical Management Inc
2.8","Alhambra, CA",501 to 1000 Employees,1994,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$71K - $138K (Glassdoor est.),2.9,"CarParts.com
2.9","Torrance, CA",1001 to 5000 Employees,1995,Company - Public,Automotive Parts & Accessories Stores,Retail,$100 to $500 million (USD)
Lab Manager / Sr. Scientist,$72K - $134K (Glassdoor est.),1.9,"BTS Research
1.9","San Diego, CA",51 to 200 Employees,2007,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Applied Mathematics and Computational Research Scientist,$76K - $145K (Glassdoor est.),4.4,"Lawrence Berkeley National Laboratory
4.4","San Francisco, CA",1001 to 5000 Employees,1931,Government,State & Regional Agencies,Government,$500 million to $1 billion (USD)
Data Scientist,$76K - $125K (Glassdoor est.),4.7,"Cuberg
4.7","Emeryville, CA",1 to 50 Employees,2015,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Senior Data Analyst,$59K - $104K (Glassdoor est.),-1,"SeaBreeze Vacation Rentals, LLC","San Diego, CA",-1,-1,-1,-1,-1,-1
Data Scientist,-1,4.0,"CyberCoders
4.0","Rancho Santa Margarita, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Scientist- Biotech,$78K - $155K (Glassdoor est.),-1,Provident Research Inc,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$71K - $105K (Glassdoor est.),4.6,"Kernel
4.6","Culver City, CA",51 to 200 Employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
Data Scientist,$87K - $140K (Glassdoor est.),4.3,"Genentech
4.3","Ontario, CA",10000+ Employees,1976,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$123K - $170K (Glassdoor est.),4.1,"Experian
4.1","San Diego, CA",10000+ Employees,1980,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Data Scientist,$94K - $130K (Glassdoor est.),4.7,"Evolvinc
4.7","Burbank, CA",1 to 50 Employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$70K - $121K (Glassdoor est.),4.0,"4Insite
4.0","Sacramento, CA",1 to 50 Employees,2019,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Scientist I/II, Purification",$105K - $182K (Glassdoor est.),4.0,"Bevov
4.0","South San Francisco, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Analyst,$59K - $131K (Glassdoor est.),3.6,"EOS
3.6","Fremont, CA",501 to 1000 Employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Sr. Data Scientist,$101K - $184K (Glassdoor est.),3.3,"Union Bank
3.3","Irvine, CA",5001 to 10000 Employees,1864,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist,-1,4.6,"SmartNews
4.6","San Francisco, CA",201 to 500 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,4.8,"Riderflex
4.8","San Jose, CA",1 to 50 Employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Scientist,-1,4.6,"Apixio
4.6","San Francisco, CA",51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
Data Scientist,$90K - $145K (Glassdoor est.),3.9,"Citibank
3.9","San Francisco, CA",1001 to 5000 Employees,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Data Scientist,-1,-1,Jerry,"Palo Alto, CA",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$145K - $159K (Glassdoor est.),3.3,"FabFitFun
3.3","Los Angeles, CA",201 to 500 Employees,2010,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
"Data Scientist (Diversity, Equity & Inclusion)",$83K - $144K (Glassdoor est.),3.7,"Trusaic
3.7","Los Angeles, CA",51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,4.3,"Joby Aviation
4.3","San Carlos, CA",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$70K - $147K (Glassdoor est.),-1,Teleflora LLC,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Machine Learning Engineer / Data Scientist,$53K - $99K (Glassdoor est.),4.7,"BigBear
4.7","San Diego, CA",51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Revenue, Finance, and Data Analyst",$54K - $103K (Glassdoor est.),2.9,"RightSpace Storage
2.9","Dana Point, CA",201 to 500 Employees,2007,Company - Private,Real Estate,Real Estate,$5 to $10 million (USD)
Data Scientist,$78K - $125K (Glassdoor est.),4.8,"Power Digital Marketing
4.8","San Diego, CA",51 to 200 Employees,2012,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Data Scientist,$104K - $167K (Glassdoor est.),4.2,"Quantifind
4.2","Menlo Park, CA",51 to 200 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Applications Scientist (Ph.D.),$72K - $124K (Glassdoor est.),3.8,"Akoya Biosciences
3.8","Menlo Park, CA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Software Engineer, Data Warehousing",$89K - $201K (Glassdoor est.),3.6,"Blizzard Entertainment
3.6","Irvine, CA",1001 to 5000 Employees,1991,Subsidiary or Business Segment,Video Games,,$1 to $2 billion (USD)
Data Scientist,$77K - $144K (Glassdoor est.),4.2,"Step Mobile
4.2","Palo Alto, CA",1 to 50 Employees,2018,Company - Private,Unknown / Non-Applicable,-1,-1
Data Scientist,$92K - $155K (Glassdoor est.),4.4,"Universal Tennis
4.4","Palo Alto, CA",1 to 50 Employees,Company - Private,"Museums, Zoos & Amusement Parks","Arts, Entertainment & Recreation",Less than $1 million (USD),-1
Data Scientist,$87K - $160K (Glassdoor est.),3.8,"8k Miles
3.8","Pleasanton, CA",201 to 500 Employees,2008,Company - Public,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist,$94K - $152K (Glassdoor est.),3.9,"Citi
3.9","San Francisco, CA",10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Image Data Scientist - Computational Pathology,-1,-1,Reveal Biosciences,"San Diego, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$75K - $133K (Glassdoor est.),3.5,"sensemetrics
3.5","San Diego, CA",1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist, Biology",-1,4.1,"Atreca
4.1","South San Francisco, CA",51 to 200 Employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
Data Scientist,-1,-1,ScaleMonk,"Palo Alto, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Data Scientist,$86K - $139K (Glassdoor est.),4.0,"Hewlett Packard Enterprise
4.0","Santa Clara, CA",10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$106K - $168K (Glassdoor est.),4.7,"Blue Owl
4.7","San Francisco, CA",51 to 200 Employees,2016,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Scientist,$111K - $185K (Glassdoor est.),4.2,"Tubi
4.2","San Francisco, CA",201 to 500 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$67K - $109K (Glassdoor est.),4.1,"Scripps Health
4.1","San Diego, CA",10000+ Employees,1924,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Data Scientist,$97K - $184K (Glassdoor est.),4.2,"Aquabyte
4.2","San Francisco, CA",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD)
Data Scientist,$97K - $179K (Glassdoor est.),5.0,"FT Optimize
5.0","Half Moon Bay, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$96K - $182K (Glassdoor est.),4.9,"6sense
4.9","San Francisco, CA",201 to 500 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Technical Data Analyst,$51K - $91K (Glassdoor est.),3.6,"Epsilon
3.6","San Diego, CA",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
Division of Intuit,"San Diego, CA",4.4,"Intuit - Data
4.4",Staff Business Data Analyst,5001 to 10000 Employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Scientist,$98K - $131K (Glassdoor est.),2.8,"Vectra
2.8","San Jose, CA",51 to 200 Employees,Company - Private,Accounting,Accounting & Legal,$50 to $100 million (USD),-1
Data Scientist,-1,4.5,"Divergent
4.5","Torrance, CA",51 to 200 Employees,1991,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,$63K - $107K (Glassdoor est.),4.1,"Cognitive Medical Systems
4.1","San Diego, CA",51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
Data Scientist,-1,4.3,"Match Relevant
4.3","Mountain View, CA",1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
