Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Lead Data Scientist,$80K - $142K (Glassdoor est.),4.0,"Verizon
4.0","Tampa, FL",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,-1,4.0,"CyberCoders
4.0","Pompano Beach, FL",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Scientific Programming and Machine Learning Engineer,$66K - $119K (Glassdoor est.),3.9,"Leidos
3.9","Eglin AFB, FL",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Analyst,$44K - $79K (Glassdoor est.),4.1,"MMM Holdings
4.1","Orlando, FL",1001 to 5000 Employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
Treasury Data Analyst,$46K - $80K (Glassdoor est.),3.1,"BankUnited
3.1","Miami Lakes, FL",1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Scientist,$73K - $120K (Glassdoor est.),-1,Webstore Group,"Fort Lauderdale, FL",-1,-1,-1,-1,-1,-1
Business Intelligence Analyst- Florida Applicant Only,$46K - $92K (Glassdoor est.),3.4,"TouchSuite
3.4","Boca Raton, FL",51 to 200 Employees,2004,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable
Data Science Engineer,-1,3.6,"The CSI Companies
3.6","Jacksonville, FL",51 to 200 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Engineer,-1,-1,Moorecroft Systems,"Miramar Beach, FL",-1,-1,-1,-1,-1,-1
Analytics Manager,$57K - $110K (Glassdoor est.),4.3,"Drive Social Media
4.3","Miami, FL",51 to 200 Employees,2012,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Healthcare Quality & Data Analytics Manager,$42K - $80K (Glassdoor est.),-1,Brevard Physician Associates,"Melbourne, FL",-1,-1,-1,-1,-1,-1
Senior Data Scientist - Machine Learning Engineer,$68K - $138K (Glassdoor est.),-1,FinTrust Search Group,"Miami, FL",-1,-1,-1,-1,-1,-1
Data Solutions Engineer,-1,-1,Moorecroft Systems,"Miramar Beach, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$58K - $115K (Glassdoor est.),-1,"Cigent Technology, Inc.","Fort Myers, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$65K - $136K (Glassdoor est.),-1,TalentoHCM,"North Miami, FL",-1,-1,-1,-1,-1,-1
Analytical Method Development and Validation Scientist,-1,-1,Confidential Manufacturing,"Daytona Beach, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$65K - $126K (Glassdoor est.),4.5,"Azimuth Corporation
4.5","Tampa, FL",51 to 200 Employees,2001,Company - Private,Federal Agencies,Government,$5 to $10 million (USD)
Data Scientist,$58K - $115K (Glassdoor est.),-1,eMindful,"Orlando, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$73K - $124K (Glassdoor est.),4.0,"Amgen
4.0","Tampa, FL",10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$73K - $118K (Glassdoor est.),4.0,"Verizon
4.0","Lake Mary, FL",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,$59K - $113K (Glassdoor est.),4.1,"Certified Collectibles Group
4.1","Sarasota, FL",201 to 500 Employees,1987,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,$61K - $106K (Glassdoor est.),4.4,"Design Interactive
4.4","Port Orange, FL",51 to 200 Employees,1998,Company - Private,Research & Development,Business Services,$5 to $10 million (USD)
Associate Scientist-R&D,$47K - $116K (Glassdoor est.),-1,"Clinical Diagnostic Solutions, Inc.","Plantation, FL",-1,-1,-1,-1,-1,-1
Data Analyst,-1,4.6,"Creative Financial Staffing
4.6","Fort Lauderdale, FL",201 to 500 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Scientist,$82K - $116K (Glassdoor est.),4.1,"777 Partners
4.1","Miami, FL",201 to 500 Employees,2015,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Science Architect,$73K - $125K (Glassdoor est.),2.6,"CSX
2.6","Jacksonville, FL",10000+ Employees,1978,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD)
Data Scientist,$73K - $128K (Glassdoor est.),3.6,"Seacoast Bank
3.6","Orlando, FL",501 to 1000 Employees,1926,Company - Public,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Data Scientist,$75K - $137K (Glassdoor est.),3.6,"Lee Health
3.6","Fort Myers, FL",10000+ Employees,1916,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$53K - $91K (Glassdoor est.),4.0,"VMD Corp
4.0","Tampa, FL",501 to 1000 Employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,$64K - $119K (Glassdoor est.),3.5,"Novel Engineering
3.5","Melbourne, FL",1 to 50 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist,$58K - $118K (Glassdoor est.),3.6,"Vector Solutions
3.6","Tampa, FL",501 to 1000 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,$50K - $90K (Glassdoor est.),3.1,"Hertz
3.1","Estero, FL",10000+ Employees,1918,Company - Public,Car Rental,Travel & Tourism,$5 to $10 billion (USD)
Data Scientist,$50K - $70K (Glassdoor est.),4.1,"Elutions
4.1","Tampa, FL",1 to 50 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist,-1,-1,Sabal Tech,"Fort Lauderdale, FL",-1,-1,-1,-1,-1,-1
Data Analyst,$36K - $73K (Glassdoor est.),5.0,"Apptness Media Group
5.0","Boca Raton, FL",1 to 50 Employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
AI Data Scientist - NLP - PwC Labs,$84K - $154K (Glassdoor est.),3.9,"PRICE WATERHOUSE COOPERS
3.9","Tampa, FL",10000+ Employees,1998,Company - Private,Accounting,Accounting & Legal,$5 to $10 billion (USD)
Data Scientist,$61K - $119K (Glassdoor est.),3.7,"Sabel Systems
3.7","Valparaiso, FL",1 to 50 Employees,Contract,IT Services,Information Technology,$1 to $5 million (USD),-1
"Educator, Data Scientist",-1,3.7,"BrainStation
3.7","Miami, FL",201 to 500 Employees,2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
Data Scientist,-1,-1,Stratford Animal Health,"Odessa, FL",-1,-1,-1,-1,-1,-1
Provider Data Analyst,$55K - $71K (Glassdoor est.),-1,Health Network One,"Fort Lauderdale, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$66K - $121K (Glassdoor est.),5.0,"Longeviti, LLC
5.0","Tampa, FL",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$73K - $133K (Glassdoor est.),4.2,"IQuasar
4.2","Tampa, FL",1 to 50 Employees,2004,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Data Scientist,$60K - $107K (Glassdoor est.),3.5,"Ascension
3.5","Jacksonville, FL",10000+ Employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Scientist,-1,4.5,"PROTECH
4.5","Boca Raton, FL",1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),-1
Data Scientist,$64K - $129K (Glassdoor est.),-1,Thermo Fisher Scientific,"Jacksonville, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$64K - $113K (Glassdoor est.),4.2,"Booz Allen Hamilton
4.2","Orlando, FL",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
Data Scientist,$63K - $111K (Glassdoor est.),3.8,"FIS Global
3.8","Jacksonville, FL",10000+ Employees,1968,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD)
Data Scientist,-1,-1,http://www.ubertal.com,"Orlando, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$65K - $124K (Glassdoor est.),-1,The Powerline Group,"Boca Raton, FL",-1,-1,-1,-1,-1,-1
Data Scientist,-1,-1,"Certegy Payment Solutions, LLC","Clearwater, FL",-1,-1,-1,-1,-1,-1
Data Scientist,$69K - $129K (Glassdoor est.),3.8,"NextEra Energy
3.8","Juno Beach, FL",10000+ Employees,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
"Data Scientist, Supply Chain",$56K - $117K (Glassdoor est.),4.3,"Coupa
4.3","Miami, FL",1001 to 5000 Employees,2006,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
PwC Labs - AI Data Scientist (NLP),$68K - $113K (Glassdoor est.),3.9,"PwC
3.9","Tampa, FL",10000+ Employees,1998,Company - Private,Accounting,Accounting & Legal,$5 to $10 billion (USD)
Senior Water Resources Specialist Engineer/Scientist,$58K - $131K (Glassdoor est.),-1,HSW Consulting,"Tampa, FL",-1,-1,-1,-1,-1,-1
Data Scientist,-1,2.8,"Guardian Eagle
2.8","Boca Raton, FL",201 to 500 Employees,Company - Private,$5 to $10 million (USD),-1,-1,-1
Product Management Data Scientist,$76K - $126K (Glassdoor est.),4.1,"DHL eCommerce
4.1","Weston, FL",10000+ Employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD)
Data Scientist - Risk,$77K - $109K (Glassdoor est.),4.3,"LSQ
4.3","Orlando, FL",51 to 200 Employees,1996,Company - Private,Lending,Finance,Unknown / Non-Applicable
Data Scientist/Technical Lead,$128K - $207K (Glassdoor est.),4.6,"Novetta
4.6","Tampa, FL",501 to 1000 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist - ProServe,-1,3.8,"Amazon Web Services, Inc.
3.8",Florida,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Data Scientist, Mid",$63K - $114K (Glassdoor est.),4.2,"Booz Allen Hamilton
4.2","Tampa, FL",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
IT Data Analyst Local Candidates Only,$44K - $102K (Glassdoor est.),-1,Educational Federal Credit Union,"Miami, FL",-1,-1,-1,-1,-1,-1
Sr. Data Analyst,-1,3.4,"SNI Technology
3.4","Miami, FL",201 to 500 Employees,1998,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Sr. Data Analyst,-1,3.4,"SNI Technology
3.4","Miami, FL",-1,-1,-1,-1,-1,-1
Sr. Data Analyst,-1,3.4,"SNI Technology
3.4","Miami, FL",-1,-1,-1,-1,-1,-1
Data Analyst - Order Processing,$40K - $69K (Glassdoor est.),-1,Infinity Apparel Group,"Miami, FL",-1,-1,-1,-1,-1,-1
Data Analyst - Order Processing,$40K - $69K (Glassdoor est.),-1,Infinity Apparel Group,"Miami, FL",-1,-1,-1,-1,-1,-1
Data Scientist I,$60K - $104K (Glassdoor est.),3.9,"Crowley
3.9","Jacksonville, FL",-1,-1,-1,-1,-1,-1
Data Scientist- Data Analytics,$52K - $98K (Glassdoor est.),3.1,"Hertz
3.1","Estero, FL",10000+ Employees,1918,Company - Public,Car Rental,Travel & Tourism,$5 to $10 billion (USD)
Strategic Data Analyst,-1,4.0,"System One
4.0","Aloma, FL",5001 to 10000 Employees,1979,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
"Business Data Scientist, Miami FL",$77K - $148K (Glassdoor est.),3.8,"Amerant Bank
3.8","Miami, FL",501 to 1000 Employees,1987,Company - Public,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Senior Data Scientist,$92K - $147K (Glassdoor est.),3.7,"Imprivata
3.7","Clearwater, FL",201 to 500 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Supply Chain Data Scientist Consultant,$65K - $133K (Glassdoor est.),4.0,"Accenture
4.0","Tampa, FL",10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD)
Lead Data Scientist,$80K - $142K (Glassdoor est.),4.0,"Verizon
4.0","Tampa, FL",10000+ Employees,2000,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist II-Care Transformation (UTower),$74K - $123K (Glassdoor est.),3.7,"University of Miami Health System
3.7","Miami, FL",Unknown,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Data Scientist - Nationwide Opportunities,$82K - $142K (Glassdoor est.),3.8,"Amazon Web Services, Inc.
3.8","Jacksonville, FL",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist/ Market Analyst,$60K - $106K (Glassdoor est.),3.4,"THE ENERGY AUTHORITY
3.4","Jacksonville, FL",51 to 200 Employees,1997,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",$25 to $50 million (USD)
Senior Fulfillment and Customer Promise Data Scientist,$89K - $158K (Glassdoor est.),3.3,"Chewy
3.3","Fort Lauderdale, FL",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail,$2 to $5 billion (USD)
Data Scientist - Researcher,$58K - $96K (Glassdoor est.),3.7,"Nielsen
3.7","Oldsmar, FL",10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
Data Analyst,$46K - $94K (Glassdoor est.),4.2,"Agile Sourcing Partners
4.2","Orlando, FL",201 to 500 Employees,2006,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Data Scientist *MUST BE ABLE TO OBTAIN A SECRET CLEARANCE*,-1,4.4,"Tsymmetry, Inc.
4.4","Melbourne, FL",51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
RSA Fraud Data Scientist (FDS),-1,4.2,"RSA
4.2",Florida,10000+ Employees,1984,Company - Public,IT Services,Information Technology,$10+ billion (USD)
Data Scientist II,$70K - $120K (Glassdoor est.),3.9,"Crowley
3.9","Jacksonville, FL",5001 to 10000 Employees,1892,Company - Private,Shipping,Transportation & Logistics,$1 to $2 billion (USD)
Senior Data Scientist,$72K - $120K (Glassdoor est.),3.8,"CAE Inc.
3.8","Orlando, FL",10000+ Employees,1947,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
DATA SCIENTIST,-1,-1,CIITS,"Boca Raton, FL",-1,-1,-1,-1,-1,-1
Sr. SEO Data & Optimization Specialist (Boca),$39K - $86K (Glassdoor est.),3.2,"ADT Security Services
3.2","Boca Raton, FL",10000+ Employees,1874,Company - Public,Security Services,Business Services,$2 to $5 billion (USD)
Data Scientist Intern,-1,4.1,"Elutions
4.1","Tampa, FL",1 to 50 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Marketing Data Analyst,-1,-1,CrossLink,"Orlando, FL",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Staff Data Scientist,$90K - $145K (Glassdoor est.),3.3,"Chewy
3.3","Hollywood, FL",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail,$2 to $5 billion (USD)
Data Scientist - National TV Analytics Team,$68K - $108K (Glassdoor est.),3.7,"Nielsen
3.7","Oldsmar, FL",10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
"Data Scientist, Customer Intelligence - Opportunity for Working Remotely Jacksonville, FL",$91K - $152K (Glassdoor est.),4.3,"VMware
4.3","Jacksonville, FL",10000+ Employees,1998,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Scientist - Journeyman,$58K - $100K (Glassdoor est.),4.8,"Lukos
4.8","Tampa, FL",51 to 200 Employees,Company - Private,Accounting,Accounting & Legal,$1 to $5 million (USD),-1
Predictive Modeling - Data Scientist,$46K - $101K (Glassdoor est.),3.9,"FCCI Insurance
3.9","Sarasota, FL",501 to 1000 Employees,1959,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
Business Data Scientist,$67K - $138K (Glassdoor est.),3.8,"Amerant Bank
3.8","Miami, FL",501 to 1000 Employees,1987,Company - Public,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Machine Learning and Data Engineer - South Florida,$72K - $141K (Glassdoor est.),4.2,"Slalom Consulting
4.2","Miami, FL",5001 to 10000 Employees,2001,Company - Private,Consulting,Business Services,$2 to $5 billion (USD)
INTERN - Data Scientist - MIAMI,-1,3.6,"Beckman Coulter Diagnostics
3.6","Miami, FL",10000+ Employees,1935,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD)
Healthcare Data Analyst,$43K - $88K (Glassdoor est.),3.4,"Cancer Treatment Centers of America
3.4","Boca Raton, FL",5001 to 10000 Employees,1988,Hospital,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Senior Data Scientist,-1,3.5,"Prevedere
3.5",Florida,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Associate Educator, Data Scientist",$69K - $93K (Glassdoor est.),3.7,"BrainStation
3.7","Miami, FL",201 to 500 Employees,2012,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
Senior Data Scientist,-1,4.3,"Mode
4.3",Florida,1 to 50 Employees,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Senior Data Scientist -TS/SCI,$85K - $152K (Glassdoor est.),3.4,"Starry Associates
3.4","Tampa, FL",1 to 50 Employees,Company - Private,Consumer Products Manufacturing,Manufacturing,$10 to $25 million (USD),-1
Data Scientist - Junior,$94K - $105K (Glassdoor est.),4.8,"Lukos
4.8","Tampa, FL",51 to 200 Employees,Company - Private,Accounting,Accounting & Legal,$1 to $5 million (USD),-1
Senior Data Scientist,-1,3.5,"Hear.com US
3.5",Florida,201 to 500 Employees,2012,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Artificial Intelligence Machine Learning Engineer,$61K - $121K (Glassdoor est.),4.1,"LOCKHEED MARTIN CORPORATION
4.1","Orlando, FL",10000+ Employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Science Client Partner,$63K - $101K (Glassdoor est.),3.7,"Nielsen
3.7","Oldsmar, FL",10000+ Employees,1923,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
Senior Data Scientist,$102K - $118K (Glassdoor est.),3.3,"Auto Club Group
3.3","Tampa, FL",10000+ Employees,1902,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD)
Data Scientist Junior,-1,5.0,"Longeviti, LLC
5.0","Tampa, FL",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist – Fleet Analytics,$62K - $108K (Glassdoor est.),3.1,"Hertz
3.1","Estero, FL",10000+ Employees,1918,Company - Public,Car Rental,Travel & Tourism,$5 to $10 billion (USD)
Mgr I - Data Science,-1,3.3,"PODS Enterprises LLC
3.3","Clearwater, FL",1001 to 5000 Employees,1998,Company - Private,Consumer Product Rental,Consumer Services,$500 million to $1 billion (USD)
"Machine Learning Engineer, R&D",$64K - $117K (Glassdoor est.),3.8,"CAE Inc.
3.8","Tampa, FL",10000+ Employees,1947,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
